Timestamp,Points,SM,Red,Nir,Lst,NDVI,TVDI 1,TVDI 2,TVDI 3
9/22/2022 14:10,10,0.199,108.288,142.032,20.937,0.134805,0.119854,0.274454,0.201323
9/22/2022 14:11,11,0.14,126.774,170.038,20.9684,0.145762,0.128453,0.297191,0.20864
9/22/2022 14:11,12,0.105,95.9636,131.14,20.668,0.154892,-0.00605552,0.205065,0.13858
9/22/2022 14:11,13,0.111,76.6319,107.7,20.653,0.168544,-0.0320053,0.2122,0.135074
9/22/2022 14:12,14,0.111,102.69,138.234,20.8661,0.147531,0.0852385,0.265135,0.184786
9/22/2022 14:12,15,0.153,89.1074,114.69,20.3492,0.12553,-0.0920103,0.0844744,0.0642179
9/22/2022 14:12,16,0.183,79.4433,103.617,20.5068,0.132053,-0.0424723,0.136188,0.100977
9/23/2022 13:02,1,0.071,121.744,166.93,21.4828,0.156532,0.265842,0.542699,0.506766
9/23/2022 13:03,2,0.095,134.529,183.051,22.0953,0.152786,0.438689,0.666818,0.663518
9/23/2022 13:03,3,0.065,141.346,190.179,22.9953,0.147298,0.683757,0.823976,0.893859
9/23/2022 13:03,4,0.037,119.788,168.85,23.1989,0.169978,1.42243,1.32508,0.94597
9/23/2022 13:04,5,0.033,125.393,173.777,23.0856,0.161728,1.11974,1.08029,0.916969
9/23/2022 13:04,6,0.075,141.662,191.635,22.6986,0.149934,0.625465,0.785177,0.817915
9/23/2022 13:05,7,0.081,136.715,184.644,22.1684,0.149147,0.378793,0.646931,0.682238
9/23/2022 13:05,8,0.09,126.032,173.776,21.3993,0.159247,0.297562,0.545762,0.485396
9/23/2022 13:05,9,0.142,94.7619,133.423,20.4661,0.169427,0.135008,0.341066,0.246559
9/23/2022 13:06,10,0.13,108.951,156.014,20.4233,0.177621,0.334645,0.400044,0.235591
9/23/2022 13:06,11,0.102,134.847,183.518,21.7132,0.152878,0.275368,0.569386,0.565717
9/23/2022 13:07,12,0.061,120.764,169.986,21.6854,0.169293,0.697875,0.770408,0.55862
9/23/2022 13:07,13,0.053,101.333,148.807,21.3227,0.189791,1.15128,1.19471,0.465794
9/23/2022 13:07,14,0.061,126.643,175.092,21.4543,0.160568,0.35601,0.575546,0.499453
9/23/2022 13:08,15,0.145,105.458,149.026,19.6543,0.171198,-0.198978,0.0558723,0.0387725
9/23/2022 13:08,16,0.139,91.0315,127.095,19.8129,0.165334,-0.26754,0.100481,0.0793646
9/23/2022 15:02,1,0.083,129.074,173.535,20.4667,0.146926,0.39136,0.475499,0.413998
9/23/2022 15:02,2,0.097,136.64,181.511,20.9395,0.141035,0.482599,0.536254,0.538218
9/23/2022 15:03,3,0.071,139.217,186.045,21.8589,0.143969,0.808936,0.831802,0.779752
9/23/2022 15:03,4,0.049,123.062,168.284,22.2579,0.155216,1.37233,1.29428,0.884585
9/23/2022 15:03,5,0.039,124.904,169.392,21.7433,0.151166,0.960302,0.967068,0.749397
9/23/2022 15:04,6,0.075,139.621,185.416,21.2146,0.140892,0.56111,0.606304,0.610488
9/23/2022 15:04,7,0.078,139.167,185.543,20.9113,0.142823,0.493727,0.551024,0.530804
9/23/2022 15:04,8,0.092,129.338,174.067,20.2291,0.147423,0.311549,0.409065,0.351565
9/23/2022 15:05,9,0.169,115.529,156.659,19.4134,0.151111,0.00826033,0.176835,0.13725
9/23/2022 15:05,10,0.138,115.606,157.73,19.0406,0.154114,-0.177629,0.0554916,0.0393082
9/23/2022 15:05,11,0.118,135.354,182.128,20.1796,0.147328,0.293306,0.39294,0.338551
9/23/2022 15:06,12,0.052,121.31,167.298,20.1029,0.159344,0.375896,0.539445,0.318415
9/23/2022 15:06,13,0.061,101.541,141.02,20.4319,0.162757,0.689656,0.788901,0.404857
9/23/2022 15:06,14,0.08,126.737,171.526,20.5274,0.150167,0.449914,0.539115,0.429932
9/23/2022 15:07,15,0.17,111.031,149.672,19.1795,0.14822,-0.0670845,0.0900871,0.0758031
9/23/2022 15:07,16,0.158,95.0428,128.87,19.5988,0.151074,0.0839206,0.239345,0.185968
9/23/2022 16:02,1,0.079,124.53,168.406,23.1716,0.149781,0.442546,0.525854,0.439676
9/23/2022 16:02,2,0.102,134.314,180.019,23.4107,0.145404,0.477845,0.530987,0.504409
9/23/2022 16:03,3,0.066,140.291,186.466,24.323,0.141313,0.690775,0.711341,0.751421
9/23/2022 16:04,4,0.041,120.801,166.139,24.7508,0.158007,1.55184,1.39388,0.867231
9/23/2022 16:04,5,0.032,123.731,168.347,24.2919,0.152757,0.974414,0.979276,0.742999
9/23/2022 16:04,6,0.063,138.099,184.187,23.7088,0.143004,0.541184,0.577976,0.585117
9/23/2022 16:05,7,0.065,138.201,183.809,23.6181,0.141635,0.500413,0.534897,0.560552
9/23/2022 16:06,8,0.101,132.071,177.131,22.8013,0.145728,0.285518,0.360473,0.339393
9/23/2022 16:06,9,0.157,112.282,152.897,22.0721,0.153162,-0.00804641,0.189726,0.141952
9/23/2022 16:07,10,0.16,118.735,161.274,21.6445,0.151921,-0.175441,0.0335707,0.0262006
9/23/2022 16:08,11,0.116,136.722,182.676,22.7973,0.143877,0.278558,0.341847,0.33831
9/23/2022 16:08,12,0.057,120.523,165.651,22.982,0.157691,0.467233,0.616019,0.388335
9/23/2022 16:08,13,0.061,100.027,139.356,23.6125,0.164292,1.41793,1.21869,0.559038
9/23/2022 16:09,14,0.06,124.954,169.852,23.5029,0.152299,0.616658,0.686904,0.529353
9/23/2022 16:09,15,0.134,111.512,151.098,22.0928,0.150742,0.024144,0.181951,0.147582
9/23/2022 16:09,16,0.136,96.0225,130.238,22.3956,0.151222,0.143445,0.287446,0.229564
9/27/2022 12:23,1,0.085,92.5151,112.961,21.2793,0.0995036,0.29424,0.330197,0.232643
9/27/2022 12:24,2,0.093,100.275,124.52,21.5574,0.107857,0.405302,0.463922,0.344313
9/27/2022 12:24,3,0.059,150.588,190.574,22.7372,0.117204,1.05067,1.04325,0.818195
9/27/2022 12:24,4,0.046,127.963,167.286,23.0407,0.133185,1.12511,1.09791,0.940094
9/27/2022 12:25,5,0.044,129.565,171.132,22.6757,0.138235,0.872415,0.902703,0.793478
9/27/2022 12:25,6,0.074,148.281,189.519,22.4409,0.122077,0.840127,0.867214,0.699171
9/27/2022 12:26,7,0.099,111.918,142.522,21.619,0.12028,0.359175,0.46241,0.369064
9/27/2022 12:26,8,0.127,90.7907,110.468,21.1633,0.0977697,0.236103,0.266978,0.186016
9/27/2022 12:27,9,0.213,100.342,122.524,20.9666,0.0995305,0.106217,0.151898,0.107039
9/27/2022 12:27,10,0.179,106.605,133.822,21.2693,0.113205,0.19662,0.298336,0.228606
9/27/2022 12:28,11,0.134,108.816,139.373,21.8355,0.123117,0.470036,0.562338,0.456006
9/27/2022 12:28,12,0.128,83.3471,110.071,21.8744,0.138167,0.392781,0.536771,0.471657
9/27/2022 12:29,13,0.08,67.9037,93.0114,21.9728,0.156031,0.332466,0.532941,0.51117
9/27/2022 12:29,14,0.127,96.2242,119.513,22.1647,0.107952,0.769258,0.792121,0.588234
9/27/2022 12:30,15,0.182,88.0433,107.889,21.3644,0.101287,0.333408,0.374429,0.266814
9/27/2022 12:30,16,0.235,83.6699,101.294,20.9535,0.0952845,0.126694,0.148446,0.101768
